cosmos 0.1.0 (Linux 6.6.87.2-microsoft-standard-WSL2)
executed on             Linux date 2025.11.19  17:59:42
running on    16 total cores
Python 3.9.13, ASE 3.26.0, dscribe 2.1.2

Initial structure: Energy = -405.232330 eV
Step 1: Energy = -405.240806 eV
Step 2: Energy = -405.243948 eV
Step 3: Energy = -405.243948 eV
Step 4: Energy = -405.253950 eV
Step 5: Energy = -405.253950 eV
Step 6: Energy = -405.253950 eV
Step 7: Energy = -405.253950 eV
Step 8: Energy = -405.242647 eV
Step 9: Energy = -405.246875 eV
Step 10: Energy = -405.246875 eV
Step 11: Energy = -405.246875 eV
Step 12: Energy = -405.237298 eV
Step 13: Energy = -405.230680 eV
Step 14: Energy = -405.230680 eV
Step 15: Energy = -405.230680 eV
Step 16: Energy = -405.236659 eV
Step 17: Energy = -405.212781 eV
Step 18: Energy = -405.240480 eV
Step 19: Energy = -405.242596 eV
Step 20: Energy = -405.242596 eV
Step 21: Energy = -405.240689 eV
Step 22: Energy = -405.245728 eV
Step 23: Energy = -405.237397 eV
Step 24: Energy = -405.239028 eV
Step 25: Energy = -405.234954 eV
Step 26: Energy = -405.227711 eV
Step 27: Energy = -405.244654 eV
Step 28: Energy = -405.244654 eV
Step 29: Energy = -405.244654 eV
Step 30: Energy = -405.246531 eV
Step 31: Energy = -405.246531 eV
Step 32: Energy = -405.247226 eV
Step 33: Energy = -405.236259 eV
Step 34: Energy = -405.236259 eV
Step 35: Energy = -405.238020 eV
Step 36: Energy = -405.241190 eV
Step 37: Energy = -405.241433 eV
Step 38: Energy = -405.241433 eV
Step 39: Energy = -405.241433 eV
Step 40: Energy = -405.253695 eV
Step 41: Energy = -405.253695 eV
Step 42: Energy = -405.253695 eV
Step 43: Energy = -405.253695 eV
Step 44: Energy = -405.256343 eV
Step 45: Energy = -405.244831 eV
Step 46: Energy = -405.236972 eV
Step 47: Energy = -405.228245 eV
Step 48: Energy = -405.249323 eV
Step 49: Energy = -405.249323 eV
Step 50: Energy = -405.247544 eV
Step 51: Energy = -405.247544 eV
Step 52: Energy = -405.247544 eV
Step 53: Energy = -405.244792 eV
Step 54: Energy = -405.244006 eV
Step 55: Energy = -405.244006 eV
Step 56: Energy = -405.253311 eV
Step 57: Energy = -405.253311 eV
Step 58: Energy = -405.239424 eV
Step 59: Energy = -405.239424 eV
Step 60: Energy = -405.243113 eV
Step 61: Energy = -405.244292 eV
Step 62: Energy = -405.219309 eV
Step 63: Energy = -405.245733 eV
Step 64: Energy = -405.245733 eV
Step 65: Energy = -405.243327 eV
Step 66: Energy = -405.253712 eV
Step 67: Energy = -405.226409 eV
Step 68: Energy = -405.236648 eV
Step 69: Energy = -405.237371 eV
Step 70: Energy = -405.237371 eV
Step 71: Energy = -405.241048 eV
Step 72: Energy = -405.241048 eV
Step 73: Energy = -405.230724 eV
Step 74: Energy = -405.230724 eV
Step 75: Energy = -405.229354 eV
Step 76: Energy = -405.233188 eV
Step 77: Energy = -405.233188 eV
Step 78: Energy = -405.235776 eV
Step 79: Energy = -405.225076 eV
Step 80: Energy = -405.225492 eV
Step 81: Energy = -405.228461 eV
Step 82: Energy = -405.235832 eV
Step 83: Energy = -405.239098 eV
Step 84: Energy = -405.233947 eV
Step 85: Energy = -405.241082 eV
Step 86: Energy = -405.253459 eV
Step 87: Energy = -405.238911 eV
Step 88: Energy = -405.235086 eV
Step 89: Energy = -405.237293 eV
Step 90: Energy = -405.237293 eV
Step 91: Energy = -405.215654 eV
Step 92: Energy = -405.226597 eV
Step 93: Energy = -405.237563 eV
Step 94: Energy = -405.237563 eV
Step 95: Energy = -405.232150 eV
Step 96: Energy = -405.238679 eV
Step 97: Energy = -405.228208 eV
Step 98: Energy = -405.228208 eV
Step 99: Energy = -405.253837 eV
Step 100: Energy = -405.253837 eV
